NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,giac_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings,giac_openings
,29020,,"Kokomo, IN",82568,12,37,3.1,Very Low,0.1,Very Low,Cyber Security Engineer,Network Analyst / Specialist,Vulnerability Analyst / Penetration Tester,Business Process Analyst,Information Assurance Engineer / Analyst,,,,,,6,7,8,6,0,2,4,31,<10,<10,<10,<10,<10,2,0,0,2,0,0
,29100,,"La Crosse-Onalaska, WI-MN",136936,100,106,1.1,Very Low,0.7,Low,Cyber Security Analyst,Vulnerability Analyst / Penetration Tester,Cloud Architect,Cyber Security Engineer,Technical Manager / Director,Software Developer / Engineer,Technical Support Manager / Supervisor,Senior Software Developer / Engineer,Cyber Security Consultant,Cyber Security Architect,52,60,60,50,0,40,39,25,<10,<10,<10,<10,13,0,40,1,17,16,16
,29200,,"Lafayette-West Lafayette, IN",216679,53,296,5.6,Average,0.3,Very Low,Cyber Security Engineer,Cyber Security Analyst,Mobile Developer / Engineer,Windows Administrator,Systems Administrator,Software Developer / Engineer,Help Desk Technician / Analyst,Network Engineer / Architect,Business Intelligence Analyst,IT Auditor,18,34,35,26,0,13,18,45,16,<10,<10,<10,18,0,8,1,3,2,7
,29180,,"Lafayette, LA",491528,63,238,3.8,Low,0.2,Very Low,Software Developer / Engineer,Cloud Architect,Cyber Security Engineer,Systems Administrator,Cyber Security Manager / Administrator,Cyber Security Analyst,Systems Analyst,Network Engineer / Architect,Cyber Security Architect,IT Auditor,19,45,29,14,0,11,20,40,11,<10,<10,<10,<10,6,26,0,5,1,3
,29340,,"Lake Charles, LA",207483,16,50,3.1,Very Low,0.1,Very Low,Cyber Security Engineer,Technical Consultant / Analyst,IT Manager,Cyber Security Manager / Administrator,Technical Support Engineer / Analyst,Business Intelligence Analyst,,,,,8,8,7,7,0,1,5,20,<10,<10,<10,<10,<10,0,0,0,2,0,0
,29420,,"Lake Havasu City-Kingman, AZ",205249,9,53,5.9,Average,0.1,Very Low,Systems Engineer,Network Engineer / Architect,Systems Administrator,Cyber Security Engineer,,,,,,,0,5,5,1,0,1,1,23,<10,<10,<10,<10,<10,1,0,0,0,0,0
,29460,,"Lakeland-Winter Haven, FL",666149,187,729,3.9,Low,0.4,Very Low,Cyber Security Analyst,Cyber Security Engineer,Network Engineer / Architect,Technical Support Engineer / Analyst,Help Desk Technician / Analyst,Vulnerability Analyst / Penetration Tester,Systems Engineer,Cyber Security Manager / Administrator,Network Administrator,Systems Administrator,62,96,126,68,2,34,32,123,50,<10,23,13,62,39,36,1,17,9,20
,29540,,"Lancaster, PA",538500,133,464,3.5,Very Low,0.3,Very Low,Cyber Security Engineer,Cyber Security Manager / Administrator,Cyber Security Analyst,IT Specialist / Engineer,Network Engineer / Architect,Vulnerability Analyst / Penetration Tester,Systems Administrator,Cyber Security Specialist / Technician,Information Assurance Engineer / Analyst,Software Developer / Engineer,44,78,100,52,0,30,34,118,35,<10,26,<10,50,20,39,0,22,8,15
,29620,,"Lansing-East Lansing, MI",475099,710,919,1.3,Very Low,1.7,Very High,Cyber Security Analyst,Cyber Security Engineer,Network Engineer / Architect,Computer Support Specialist,Help Desk Technician / Analyst,IT Auditor,Cyber Security Manager / Administrator,Vulnerability Analyst / Penetration Tester,Webmaster / Administrator,Systems Analyst,310,413,500,280,6,164,182,184,54,<10,65,18,87,127,227,1,163,29,32
,29700,,"Laredo, TX",271193,13,134,10.3,Very High,0.1,Very Low,Cyber Security Analyst,Cyber Security Engineer,Cyber Security Consultant,Incident Analyst / Responder,,,,,,,8,10,10,10,0,6,3,11,<10,<10,<10,<10,<10,0,7,0,6,7,6
